Time,Charge,Current
0,0,4
0.1,0.4,3.92
0.2,0.78,3.84
0.3,1.16,3.77
0.4,1.54,3.69
0.5,1.9,3.62
0.6,2.26,3.55
0.7,2.61,3.48
0.8,2.96,3.41
0.9,3.29,3.34
1,3.63,3.27
1.1,3.95,3.21
1.2,4.27,3.15
1.3,4.58,3.08
1.4,4.88,3.02
1.5,5.18,2.96
1.6,5.48,2.9
1.7,5.76,2.85
1.8,6.05,2.79
1.9,6.32,2.74
2,6.59,2.68
2.1,6.86,2.63
2.2,7.12,2.58
2.3,7.37,2.53
2.4,7.62,2.48
2.5,7.87,2.43
2.6,8.11,2.38
2.7,8.35,2.33
2.8,8.58,2.28
2.9,8.8,2.24
3,9.02,2.2
3.1,9.24,2.15
3.2,9.45,2.11
3.3,9.66,2.07
3.4,9.87,2.03
3.5,10.07,1.99
3.6,10.26,1.95
3.7,10.46,1.91
3.8,10.65,1.87
3.9,10.83,1.83
4,11.01,1.8
4.1,11.19,1.76
4.2,11.37,1.73
4.3,11.54,1.69
4.4,11.7,1.66
4.5,11.87,1.63
4.6,12.03,1.59
4.7,12.19,1.56
4.8,12.34,1.53
4.9,12.49,1.5
5,12.64,1.47
5.1,12.79,1.44
5.2,12.93,1.41
5.3,13.07,1.39
5.4,13.21,1.36
5.5,13.34,1.33
5.6,13.47,1.31
5.7,13.6,1.28
5.8,13.73,1.25
5.9,13.85,1.23
6,13.98,1.2
6.1,14.1,1.18
6.2,14.21,1.16
6.3,14.33,1.13
6.4,14.44,1.11
6.5,14.55,1.09
6.6,14.66,1.07
6.7,14.76,1.05
6.8,14.87,1.03
6.9,14.97,1.01
7,15.07,0.99
7.1,15.17,0.97
7.2,15.26,0.95
7.3,15.36,0.93
7.4,15.45,0.91
7.5,15.54,0.89
7.6,15.63,0.87
7.7,15.71,0.86
7.8,15.8,0.84
7.9,15.88,0.82
8,15.96,0.81
8.1,16.04,0.79
8.2,16.12,0.78
8.3,16.2,0.76
8.4,16.27,0.75
8.5,16.35,0.73
8.6,16.42,0.72
8.7,16.49,0.7
8.8,16.56,0.69
8.9,16.63,0.67
9,16.69,0.66
9.1,16.76,0.65
9.2,16.82,0.64
9.3,16.89,0.62
9.4,16.95,0.61
9.5,17.01,0.6
9.6,17.07,0.59
9.7,17.13,0.57
9.8,17.18,0.56
9.9,17.24,0.55
10,17.29,0.54
